price,year,odometer,title_status,transmission,drive,state
7500,2005,160000,0,0,2,14
24500,2014,113000,0,0,0,27
15000,2009,221000,0,0,0,27
14685,2011,145671,0,0,0,33
11995,2006,132930,0,0,0,19
11795,2015,111048,0,0,2,19
25800,2015,49900,0,0,0,5
11995,2006,132930,0,0,0,19
14685,2011,145671,0,0,0,33
11995,2006,132930,0,0,0,19
10900,2012,132000,0,1,0,19
12500,2005,192000,0,1,0,36
29000,2015,64000,1,0,0,27
32000,2019,33000,1,1,0,36
11995,2005,167523,0,1,0,44
20800,2010,97351,0,0,0,12
24900,2014,113000,0,0,0,44
26900,2015,59300,0,0,0,9
11995,2006,132930,0,0,0,19
7800,1997,212234,0,0,0,41
29990,2019,2324,0,0,2,36
22495,2017,17776,0,0,2,41
26900,2015,53390,0,0,0,19
21750,2014,99246,0,0,0,12
25990,2015,39725,0,0,0,19
24320,2015,50616,0,0,0,41
7988,2007,281028,0,2,0,19
27952,2017,58679,0,0,0,41
29952,2016,48636,0,0,0,41
17500,2014,99000,0,0,2,39
7995,2006,73995,0,1,2,44
26795,2017,49407,0,0,0,44
33999,2017,34835,0,0,0,46
8950,2003,140186,0,0,2,36
32745,2018,13737,0,0,0,41
20800,2015,78454,2,0,0,5
34950,2016,20810,0,0,0,46
29999,2016,60095,0,0,0,46
14000,2006,125886,0,1,0,46
33450,2017,30891,0,0,0,46
32500,2017,7422,1,0,0,46
22995,2014,80989,0,0,0,46
27900,2017,70665,0,0,0,12
27900,2015,46032,0,0,0,41
21900,2009,99075,0,0,0,36
19997,2006,106403,0,0,0,36
39997,2019,11941,0,0,0,36
26997,2013,90394,0,0,0,36
14997,2004,166089,0,0,0,36
11495,2003,99250,0,0,0,36
21997,2015,151359,0,1,0,36
28997,2014,86837,0,0,0,36
5500,2004,126400,3,0,2,14
25900,2015,74379,0,0,0,25
21400,2015,95750,0,1,0,36
7000,2002,128200,3,0,0,36
27475,2015,54300,0,0,0,26
19995,2015,75833,0,0,2,36
7800,2008,151000,0,1,2,36
24998,2014,56000,0,0,0,36
24500,2014,113000,0,0,0,48
24500,2014,113000,0,0,0,48
16709,2011,101599,0,0,2,42
8995,2006,189295,0,0,2,42
14300,2012,79075,0,1,2,42
18950,2017,50925,3,0,2,42
1600,2000,180,3,0,1,9
7995,2001,139520,0,0,2,42
25900,2015,74379,0,0,0,25
14400,2005,79556,0,0,0,33
5900,2004,92000,0,1,2,31
14950,2016,92520,3,0,0,42
23990,2016,51000,0,0,2,42
15450,2019,19494,3,0,0,22
22600,2016,63102,0,0,2,27
25900,2017,12278,0,0,0,17
10955,2013,117835,0,0,2,17
11962,2013,93831,0,0,2,17
12999,2011,126378,0,0,2,5
10997,2015,144650,0,0,2,22
18999,2010,103631,0,0,0,5
20800,2010,97351,0,0,0,12
32928,2018,23376,0,0,0,42
20594,2012,108647,0,0,0,5
29849,2017,88062,0,0,0,24
17950,2013,132808,0,0,0,37
8900,2005,120809,0,1,0,37
18950,2018,48806,0,0,0,42
13950,2017,61773,3,0,0,42
28999,2017,24396,0,0,0,5
26594,2017,34600,0,0,0,5
6995,2003,264849,0,0,0,5
11495,2009,213911,0,1,0,5
12499,2004,129318,0,0,0,5
26998,2014,34474,0,0,0,5
8999,2003,150200,0,0,0,37
24500,2014,113000,0,0,0,27
27495,2017,22285,0,0,2,42
10300,2006,175889,0,0,0,5
13950,2016,45989,3,0,2,42
13950,2019,8363,0,0,0,42
7000,2003,251500,0,0,0,5
22900,2013,151468,0,0,0,4
30995,2018,13315,0,0,0,42
10999,2006,135889,0,0,2,5
31997,2017,27337,0,0,0,5
24500499,2015,103054,0,0,0,5
26599,2017,48224,0,0,0,5
22991,2015,12230,0,0,0,5
23994,2013,85753,0,0,0,5
15999,2008,193982,0,0,0,5
17495,2011,165483,0,0,0,5
23299,2014,74702,0,0,0,5
28998,2017,71954,0,0,0,5
24910,2016,109299,0,0,0,42
24707,2018,24814,0,0,2,42
24881,2016,50033,0,0,2,42
28922,2017,39693,0,0,0,42
25150,2015,53350,0,0,0,5
3450,1989,99300,0,0,2,42
7900,2008,111000,0,0,2,33
5950,1999,274471,0,1,0,42
35900,2019,9775,0,0,0,33
25500,2015,49700,0,0,0,24
9590,1999,41398,0,0,2,5
21500,2014,144000,1,1,0,5
14997,2011,180442,0,0,0,33
14997,2011,180442,0,0,0,33
14400,2005,79556,0,0,0,33
4900,2001,100500,0,0,2,5
15985,2010,131887,0,0,0,47
4000,2005,111000,0,0,0,33
25997,2015,71132,0,0,0,42
22979,2018,51682,0,0,0,42
30864,2018,30113,0,0,0,42
12200,2015,100348,0,0,2,47
15985,2010,131887,0,0,0,47
27900,2017,70665,0,0,0,12
10995,2006,96880,0,0,2,4
29849,2017,88062,0,0,0,24
6995,2003,264849,0,0,0,5
11495,2009,213911,0,1,0,5
12499,2004,129318,0,0,0,5
15495,2008,195339,0,1,0,5
26947,2016,99176,0,0,0,26
10000,1998,132500,0,1,0,26
7599,2003,247416,0,0,0,5
31920,2019,3731,0,0,2,42
8499,2004,126696,0,1,2,5
24495,2014,72208,0,0,0,42
19880,2009,118558,0,0,0,46
25825,2016,70855,0,1,0,26
18999,2012,117000,0,1,0,26
33900,2013,57400,0,0,0,26
7900,2006,140000,0,1,2,42
21980,2012,103408,0,0,0,26
19995,2016,102166,0,0,0,47
37000,2018,25000,0,0,0,37
29502,2017,31687,0,0,0,46
42000,2019,14000,1,0,0,5
15995,2011,44486,0,0,2,46
5000,2000,195000,0,0,0,5
26991,2019,22482,0,0,2,4
5675,2004,247000,0,0,0,48
21000,2010,141,0,0,0,5
16000,2009,110100,0,0,0,37
30978,2019,23371,0,0,2,4
6500,1995,206000,0,1,0,44
14995,2007,128000,0,1,0,5
4000,1999,236000,0,1,0,5
22999,2017,62914,0,0,0,34
10000,1998,132500,0,1,0,26
30995,2017,30300,0,1,0,37
6250,2001,280044,0,0,0,26
8500,2007,153000,0,0,2,27
8990,2006,177461,0,0,1,27
5000,2009,160000,0,1,2,27
33000,2019,19000,0,0,0,27
8990,2006,177461,0,0,2,27
18475,2014,134000,0,0,0,47
9995,2015,133000,0,0,2,47
32700,2018,16336,0,0,0,12
33995,2017,49572,0,0,0,42
29500,2017,21691,0,2,0,27
7400,2002,232765,0,0,1,27
17500,2016,45671,0,0,2,27
32995,2019,21528,0,0,2,42
7995,2013,170000,0,0,2,42
23000,2013,87000,0,1,0,37
1,2011,168955,0,0,0,42
4500,2007,267000,0,0,1,42
15720,2009,136626,0,0,0,47
14777,2009,42341,0,1,0,47
1,2011,168955,0,0,0,42
8850,2010,156000,0,0,0,33
12350,2015,100348,0,0,2,47
4150,2001,254000,0,0,1,42
27980,2016,7568,0,0,2,42
19477,2011,104000,0,0,0,47
6700,2008,171000,0,0,2,42
14998,2005,135477,0,0,2,42
14998,2005,135477,0,0,2,42
7000,2008,171000,0,0,2,42
14999,2007,157769,0,0,0,4
9981,2001,200596,0,0,2,4
15950,2012,155221,0,0,0,6
25300,2014,61705,0,0,0,6
10500,2008,159000,0,0,0,6
15000,2010,158000,0,0,0,33
9989,2006,193265,0,0,2,42
19995,2012,57917,0,0,2,4
22995,2018,24223,0,0,2,4
9500,2004,200000,2,0,0,42
30777,2019,16237,0,0,0,6
6999,2009,120,0,1,0,6
18600,2013,101958,0,0,0,6
18800,2013,101958,0,0,0,6
28995,2017,38008,0,0,0,47
25588,2015,71000,0,0,0,42
19500,2015,78052,0,0,2,7
28995,2017,38008,0,0,0,47
28990,2017,51379,0,1,0,7
14999,2007,226035,0,0,0,49
9999,2006,103432,0,1,2,49
8999,1997,224958,0,1,0,49
12999,2011,126378,0,0,2,49
13995,2014,54998,0,0,1,7
19999,2012,111655,0,0,2,49
24495,2013,113500,0,0,0,4
26995,2017,22204,0,0,0,45
13599,2013,137800,0,0,2,4
18500,2012,107763,0,0,0,7
19000,2011,72500,0,0,2,4
11995,2006,132930,0,0,0,38
6450,2004,182300,0,1,0,38
15495,2005,82764,0,0,0,38
12995,2007,162322,0,0,0,38
10250,2007,206500,0,0,0,49
17999,2007,111358,0,0,0,49
23995,2016,63093,0,0,2,4
24995,2017,92353,0,0,2,4
25990,2015,39725,0,0,0,38
6950,2006,223222,0,0,1,1
30777,2019,16237,0,0,0,38
9995,2006,162907,0,0,0,38
26900,2017,30122,0,0,0,16
11000,2014,64046,3,0,2,4
12999,2011,126378,0,0,2,5
11600,2015,95890,0,0,2,5
24000,2011,119000,0,0,0,5
8999,2011,251631,0,0,0,5
14999,2006,136406,0,0,1,4
13500,2008,160000,0,0,2,4
12800,2005,203000,0,0,0,4
15999,2009,142961,0,0,0,44
24526,2016,22734,0,0,2,1
29675,2017,88062,0,0,0,16
9750,2006,216076,0,0,0,44
9999,2013,158025,0,0,2,4
7888,1999,192853,0,0,1,4
26550,2014,62671,0,0,0,5
33995,2017,59402,0,1,0,5
28999,2017,24396,0,0,0,5
30599,2017,33246,0,0,0,5
28598,2017,62028,0,0,0,5
30598,2017,53634,0,0,0,5
24512,2016,50033,0,0,2,42
26594,2017,34600,0,0,0,5
26599,2017,48224,0,0,0,5
23994,2013,85753,0,0,0,5
19994,2012,103351,0,0,0,5
15999,2008,193982,0,0,0,5
21999,2010,127917,0,0,0,5
13995,2009,279562,0,0,2,4
23900,2015,64579,0,0,0,39
24999,2012,96499,0,0,0,4
32700,2018,35200,0,0,0,4
27777,2016,100013,0,0,0,4
17999,2006,175857,0,0,0,4
6000,2001,282404,0,1,0,4
6000,2001,282404,0,1,0,4
9400,2010,135441,0,0,1,5
29995,2016,31007,0,0,0,7
25550,2015,99213,0,0,0,5
29995,2016,31007,0,0,0,7
14000,2006,144000,0,1,0,39
11880,2009,198944,0,0,0,1
10000,2013,93300,0,0,2,7
27000,2015,59000,1,0,0,5
13995,2009,164316,0,0,0,34
20000,2012,115380,0,0,0,16
18500,2010,155000,0,0,0,5
23799,2015,24634,0,0,2,1
16900,2014,159007,0,0,0,16
20000,2012,115380,0,0,0,16
29950,2019,26400,0,0,0,39
18900,2013,94560,0,0,0,16
18900,2013,94560,0,0,0,16
7800,2001,188302,0,0,2,1
28500,2016,54800,0,0,0,16
25150,2015,53350,0,0,0,16
15495,2008,105239,0,0,0,7
24987,2017,27392,0,0,2,1
4000,2000,240000,0,1,0,7
30999,2017,22500,1,0,0,7
5900,2006,203142,0,0,2,39
10990,2007,130301,0,0,0,7
20200,2017,66000,0,0,2,39
19900,2012,133500,0,0,2,39
4000,2001,312000,0,0,2,42
29991,2017,27303,0,0,0,42
20920,2014,116751,0,0,0,42
24995,2016,75938,0,0,0,1
9999,2006,198735,0,0,0,21
10999,2008,191507,0,0,0,21
10000,2007,45000,0,0,2,7
27950,2018,16422,0,0,2,1
31950,2018,54254,0,0,0,1
29691,2018,40889,0,0,0,42
29691,2018,40889,0,0,0,42
7995,2001,139520,0,0,2,42
29952,2017,38483,0,0,0,42
8952,2003,129528,0,0,2,42
10000,2011,130000,0,0,2,16
27400,2016,66566,0,0,0,16
11599,2006,229628,0,0,2,1
17500,2014,99000,0,0,2,39
29370,2016,66038,0,1,0,1
22490,2017,42070,0,0,2,42
28900,2017,58538,0,0,0,0
34500,2019,18326,0,0,0,0
7500,2008,327000,0,0,2,1
26194,2014,59848,0,2,0,0
5900,2008,114000,0,1,0,33
11995,2010,127137,0,0,2,42
26896,2019,7286,0,0,0,21
13995,2011,168955,0,0,0,42
8000,2005,200000,0,1,0,9
14900,2012,51500,2,0,0,0
7400,2009,147000,0,0,2,9
29995,2017,22443,0,0,2,9
10900,2005,164450,0,0,2,3
29675,2017,88062,0,0,0,16
20952,2017,34629,0,0,2,9
14998,2005,135477,0,0,2,42
25952,2015,48217,0,0,0,9
39999,2019,2795,0,0,0,0
31999,2016,48726,0,0,0,0
20000,2010,86700,0,0,0,0
29995,2016,88251,0,0,0,16
6000,2001,127,0,0,0,37
34000,2017,31000,0,0,0,0
21977,2017,39468,0,0,2,9
23903,2016,27125,0,0,2,9
22490,2017,42070,0,0,2,42
8995,1997,126370,0,1,0,5
23595,2015,89978,0,0,0,0
8999,2008,183000,0,1,2,5
6700,2001,191000,0,0,2,3
9999,2006,103432,0,1,2,5
14999,2007,226035,0,0,0,5
12999,2007,208796,0,1,0,5
28999,2017,24396,0,0,0,5
30599,2017,33246,0,0,0,5
28598,2017,62028,0,0,0,5
30598,2017,53634,0,0,0,5
26594,2017,34600,0,0,0,5
26599,2017,48224,0,0,0,5
23994,2013,85753,0,0,0,5
19994,2012,103351,0,0,0,5
15999,2008,193982,0,0,0,5
21999,2010,127917,0,0,0,5
21995,2009,114389,0,0,0,3
24995,2013,122238,0,0,0,3
18500,2015,63000,1,0,0,3
7000,2004,190000,3,0,2,39
13999,2010,142889,0,1,0,5
9500,2004,200000,3,0,0,42
24895,2016,89956,0,0,0,9
23900,2012,79854,0,0,0,17
4200,1998,302000,0,1,0,17
19952,2014,83085,0,0,2,9
24999,2012,96499,0,0,0,4
27777,2016,100013,0,0,0,4
32700,2018,35200,0,0,0,4
17999,2006,175857,0,0,0,4
11995,2006,132930,0,0,0,38
23975,2015,63367,0,0,0,38
27975,2018,14738,0,0,0,38
27600,2014,76328,0,0,0,4
17999,2006,175857,0,0,0,4
32700,2018,35200,0,0,0,4
